Module,Use Case / Tính năng,Tác nhân (Actors),Chi tiết triển khai & File liên quan
"Module 1: Hệ thống & Tài khoản","Đăng nhập/Đăng ký/Đăng xuất (JWT + bcrypt); Phân quyền Route & API bảo mật; Khôi phục mật khẩu & trạng thái tài khoản","Admin / User / Staff","Backend: authRoutes.js, authController.js, authMiddleware.js | Frontend: AuthContext.jsx, Auth.jsx"
"Module 2: Quản lý Sản phẩm Thanh lý","CRUD sản phẩm; CRUD danh mục; Bộ sưu tập ảnh; Quản lý tồn kho & ẩn/hiện sản phẩm","Seller / Admin","Backend: productRoutes.js, productController.js | Frontend: SellerDashboard.jsx, ProductCard.jsx"
"Module 3: Trải nghiệm & Mua sắm","Tìm kiếm & Bộ lọc sản phẩm; Quản lý Giỏ hàng (carts); Gửi đánh giá & điểm sao (reviews); Quản lý Hồ sơ cá nhân (profiles)","Customer / Admin","Backend: userRoutes.js, userController.js | Frontend: Shop.jsx, CustomerDashboard.jsx"
"Module 4: Đơn hàng & Logistics","Tạo đơn hàng & chi tiết đơn hàng; Theo dõi trạng thái đơn hàng; Quản lý vận chuyển (GHTK/GHN, tracking)","Customer / Seller / Admin","Backend: orderRoutes.js, orderController.js | Frontend: Checkout.jsx, SellerDashboard.jsx, CustomerDashboard.jsx"
"Module 5: Đặt lịch Sửa chữa","Form gửi yêu cầu sửa chữa (repair_requests); Tạo lịch hẹn thợ (repair_bookings); Ghi nhật ký tiến trình (repair_status_logs)","Customer / Admin","Backend: bookingRoutes.js, bookingController.js | Frontend: Booking.jsx, CustomerDashboard.jsx"
"Module 6: Nghiệp vụ Kỹ thuật viên (Thợ)","Dashboard ca sửa chữa được giao; Cập nhật trạng thái sửa chữa; Thiết lập tình trạng rảnh/bận (is_available)","Technician / Admin","Backend: bookingRoutes.js, bookingController.js | Frontend: TechnicianDashboard.jsx"
"Module 7: Quản lý Thợ & Kỹ năng","CRUD thông tin chi tiết thợ (technician_profiles); Quản lý kỹ năng tương ứng danh mục sửa chữa (technician_skills)","Admin","Backend: userRoutes.js, userController.js | Frontend: AdminDashboard.jsx"
"Module 8: Billing & Thanh toán","Thanh toán đơn hàng & lịch sửa chữa (payments); Tích hợp cổng thanh toán VNPAY; Xử lý callback VNPAY; Quản lý số dư ví","Customer / Seller / Admin","Backend: orderController.js, bookingController.js | Frontend: Checkout.jsx, SellerDashboard.jsx"
"Module 9: AI Định giá & Chatbot","AI Chatbot tư vấn (Gemini 2.5); AI định giá sàn/trần sản phẩm; AI nhận diện mức độ hỏng hóc; Ghi nhật ký AI logs & history","User / Customer / Admin","Backend: aiRoutes.js, aiController.js | Chatbot-server: index.js | Frontend: ChatBot.jsx"
"Module 10: Chat Trực tuyến (Real-time)","Chat trực tiếp qua Socket.io giữa Khách hàng và Thợ sửa; Quản lý & lưu lịch sử tin nhắn (messages)","Customer / Technician","Backend: server.js (Socket.io), messageRoutes.js, messageController.js | Frontend: CustomerDashboard.jsx, TechnicianDashboard.jsx"
"Module 11: Báo cáo & Phân tích (Analytics)","Dashboard thống kê doanh thu/đơn hàng; Biểu đồ xu hướng (Chart.js); Quản lý nhật ký hoạt động admin (audit_logs)","Admin","Backend: userRoutes.js, userController.js | Frontend: AdminDashboard.jsx"
"Module 12: UI/UX & Hệ thống chung","Layout Header/Footer/Sidebar chung; Định tuyến Navbar; Responsive Mobile/Tablet; Toast notification/Alerts","Tất cả người dùng","Frontend: App.jsx, Navbar.jsx, index.css"
